PLAYER,All-Star,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
Kyle Korver,0,MIL,39,47,40,7,16.7,6.4,2.1,5,41.8,1.6,4,40.7,0.6,0.7,83.9,0.3,1.8,2.1,1.2,0.8,0.4,0.2,1.3,11.8,0,0,2.9,110.6,102.6,8,8.8,1.41,16.2,1.4,8.8,5.4,11.5,58,60,14.4,107.94,7
Kyle Kuzma,0,LAL,24,44,35,9,24.7,12.6,4.6,10.6,43.7,1.5,4.4,33.2,1.8,2.5,74.3,0.9,3.5,4.4,1.3,1.6,0.4,0.4,1.8,20.5,2,0,2.5,111.1,107,4.1,7.6,0.82,9,3.7,13,8.5,11.1,50.5,53.7,22.1,102.88,8.3
Kyle Lowry,1,TOR,34,43,30,13,36.5,19.6,6,14.2,42,2.9,8,35.7,4.8,5.6,85.5,0.6,4.1,4.7,7.6,2.9,1.2,0.4,3.2,38.8,11,2,4.3,110.5,105.2,5.3,30.7,2.62,28.2,1.6,10.6,6.2,10.8,52,58.7,22.3,102.04,12.2
Kyle O'Quinn,0,PHI,30,22,15,7,10.1,3.5,1.5,2.9,50,0.3,1,33.3,0.2,0.5,45.5,1.2,2.5,3.7,1.5,0.8,0.2,0.8,1.3,12.1,1,0,-1.7,106.8,115,-8.1,19.4,1.78,27.1,11.6,25.4,18.2,15.3,55.5,55.2,15.7,101.53,11.3
Kyrie Irving,0,BKN,28,20,8,12,32.9,27.4,10,20.8,47.8,2.8,7.1,39.4,4.7,5.1,92.2,1.1,4.1,5.2,6.4,2.6,1.4,0.5,2.7,46.1,3,1,-0.4,112.7,113.1,-0.4,33.1,2.46,20,3.2,12,7.5,8.1,54.6,59.5,31.8,104.28,16.4
LaMarcus Aldridge,0,SAS,34,50,21,29,33.2,19.1,7.4,14.9,50.1,1.2,2.9,40.7,3,3.6,83,2,5.6,7.6,2.4,1.4,0.6,1.6,2.4,37.2,14,0,-2.3,110.5,113.6,-3.1,11.6,1.7,12,5.9,16.5,11.3,7,54,58,23.4,99.77,12.3
Landry Shamet,0,LAC,23,38,24,14,29.2,10.6,3.5,8,43.6,2.5,6,41,1.2,1.3,91.8,0.1,2,2.1,1.8,0.8,0.4,0.2,3,16.9,0,0,2.3,112.1,108.2,3.9,8.4,2.33,16.6,0.3,6.1,3.3,7.1,59.1,62.1,13.1,103.31,5.5
Langston Galloway,0,DET,28,57,19,38,26,10.1,3.5,8.1,43.2,2,5,39.5,1.2,1.4,85.7,0.5,1.7,2.2,1.6,0.6,0.7,0.2,1.4,17.2,0,0,-1.5,107.9,111.1,-3.2,8.8,2.62,14.7,1.8,6.5,4.1,5.6,55.4,58.3,14.5,100.78,7.4
Larry Nance Jr.,0,CLE,27,45,11,34,25.1,9.5,3.8,7.2,52.8,1,2.9,34.9,0.8,1.2,67.9,1.8,5.5,7.3,2,1,0.8,0.5,1.6,24.1,9,0,-3.7,104.4,111.2,-6.8,11.9,1.91,18.1,6.7,21.9,14.1,9.4,59.7,60.9,14.8,100.04,12.7
Lauri Markkanen,0,CHI,23,46,17,29,30.3,15,5.1,12,42.4,2.2,6.4,34.4,2.7,3.2,82.6,1.2,5.2,6.5,1.5,1.7,0.8,0.5,2,27.4,3,0,-1.7,105.2,107.6,-2.4,7.9,0.91,9.2,3.9,17.5,10.5,10.1,51.5,56,20.9,101.8,10.3
LeBron James,1,LAL,35,51,40,11,34.9,25,9.6,19.6,48.9,2.1,6.2,34.5,3.7,5.4,68.7,1,6.8,7.8,10.8,4,1.3,0.4,1.7,51.7,38,12,8.5,114.5,103.6,10.9,47.9,2.67,29.6,2.9,18.7,11,11.1,54.4,56.9,30.8,101.26,19.2
Lonnie Walker IV,0,SAS,21,46,21,25,13.8,5.7,2.2,5.1,43.8,0.5,1.3,38.7,0.8,1.1,70.6,0.4,1.7,2,0.7,0.6,0.5,0.2,1.2,10.8,0,0,0.2,108.2,107.7,0.5,7.8,1.26,10.7,2.7,11.2,7,8.5,48.9,51.7,18.8,102.22,6.9
Lonzo Ball,0,NOP,22,47,19,28,32,11.9,4.4,11.1,40,2.4,6.4,36.6,0.6,1.1,56.6,1.1,4.9,6.1,6.7,3,1.3,0.5,2,31.6,11,3,-0.7,109.4,110.7,-1.3,28.9,2.28,31.6,3.2,14.3,8.7,13.9,50.6,51.2,18.4,104.5,9.9
Lou Williams,0,LAC,33,52,35,17,30,19.5,6.4,15.4,41.2,1.8,5.1,35,5,5.8,86.3,0.4,2.7,3.1,5.9,2.9,0.6,0.2,1.4,31.7,2,0,2.6,110.4,107.2,3.2,29.8,2.03,22.2,1.3,7.9,4.7,11,47,54.2,27.6,105.13,12.4
Louis King,0,DET,21,10,3,7,6.2,2,0.8,2.1,38.1,0.4,1.1,36.4,0,0.3,0,0.1,0.9,1,0.5,0.2,0.2,0,1,4.4,0,0,1.9,109.4,98.4,11,12.5,2.5,17.2,1.5,14.1,7.6,6.9,47.6,44.8,16.3,96.85,4.3
Luguentz Dort,0,OKC,21,20,15,5,20.8,5.8,2.1,5.1,40.2,0.8,2.5,30,0.9,1.2,75,0.6,1,1.5,0.6,0.6,0.8,0.1,2.7,10.3,0,0,1.8,112.3,106.8,5.5,3.8,1,8.9,2.7,4.3,3.6,8.9,47.5,51.1,13.1,98.86,2.1
Luka Doncic,1,DAL,21,44,28,16,32.8,28.9,9.5,20.4,46.5,2.9,9.1,32.3,7,9.1,76.5,1.4,8.1,9.5,8.7,4.2,1,0.2,2.5,52.7,29,12,5.3,118.2,111.1,7.1,45.7,2.08,23.4,4.2,22.8,13.7,11.3,53.7,59.2,36.1,100.51,20.1
Luke Kennard,0,DET,24,28,11,17,32.9,15.8,5.4,12.2,44.2,2.6,6.5,39.9,2.4,2.7,89.3,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,26.5,0,0,-0.8,109.2,111.3,-2.1,18.8,2.67,21.7,1,9.5,5.4,8.1,54.8,58.9,19.3,98.61,9.8
Luke Kornet,0,CHI,24,35,11,24,15.5,6,2.3,5.2,43.7,0.9,3,28.6,0.6,0.8,71.4,0.6,1.8,2.4,0.9,0.4,0.3,0.7,1.5,12.9,0,0,-0.9,104.1,106.7,-2.6,8.1,2.38,12.9,3.8,12,7.7,5.4,51.9,53.8,16.3,101.58,7.4
Malcolm Brogdon,0,IND,27,41,25,16,30.8,16.6,6.1,13.9,43.8,1.4,4.2,32.4,3.1,3.4,90.6,0.8,3.9,4.7,7.3,2.5,0.7,0.2,1.9,33.2,9,0,1.6,108.8,106.6,2.2,35.8,2.89,29.2,2.7,12.3,7.6,10.1,48.8,54,25.1,98.99,13.6
Malcolm Miller,0,TOR,27,22,19,3,5.3,0.9,0.3,1,33.3,0.2,0.7,31.3,0,0.3,16.7,0,0.6,0.6,0.4,0.1,0.2,0.1,0.5,2.9,0,0,2,115,101.2,13.8,8.5,2.67,22.9,0.9,9.7,5.6,8.6,45.2,42.3,9.1,102.23,3.1
Malik Beasley,0,MIN,23,44,27,17,19.2,8.9,3.2,8.1,39.5,1.6,4.4,37.1,0.8,1,86,0.3,1.9,2.2,1.3,1,0.8,0.1,1.3,15.2,1,0,1.2,111.1,107.8,3.3,9.9,1.33,12,1.4,9.7,5.5,9.1,49.6,52,20.1,102.08,7.3
Malik Monk,0,CHA,22,52,17,35,20.9,9.9,3.8,8.6,43.8,1,3.6,28.5,1.4,1.7,81.6,0.5,2.3,2.8,2,1.4,0.5,0.3,1.3,17.3,1,0,-3.7,102.5,111.9,-9.5,16.6,1.47,16,2,10.9,6.3,10.9,49.8,53.2,21.7,98.81,9.2
Malik Newman,0,CLE,23,1,0,1,3.7,2,0,2,0,0,1,0,2,2,100,0,0,0,0,1,0,0,0,1,0,0,-3,57.1,87.5,-30.4,0,0,0,0,0,0,25,0,34.7,57.1,97.74,-15.4
Marc Gasol,0,TOR,35,35,27,8,27.8,7.8,2.8,6.6,42.4,1.4,3.5,40.3,0.7,1,72.2,0.8,5.6,6.5,3.5,1.2,0.8,0.9,2.9,24.7,3,0,6.9,111.2,100.3,10.9,16.4,2.84,29.7,3,18.2,11,10.5,53.2,55.1,12.7,101.81,9.3
Marco Belinelli,0,SAS,34,47,21,26,15.1,5.4,1.9,5.1,37.1,1,2.8,34.6,0.7,0.9,78,0.1,1.6,1.6,1.3,0.3,0.2,0,0.8,9.6,0,0,0.6,111.8,109.9,1.9,10.9,4.36,18.5,0.4,9.6,5.1,4.2,46.7,49.6,15.8,102.96,6.1
Marcus Morris Sr.,0,LAC,30,46,15,31,32.3,19,6.4,14.5,44.2,2.6,6.1,43.2,3.5,4.3,82.3,1.1,4.3,5.4,1.4,1.7,0.8,0.4,3,29.7,3,0,-2.5,107.6,111.3,-3.6,6.7,0.83,7.2,3.1,13.2,7.9,8.7,53.2,57.9,23.2,98.9,10.4
Marcus Smart,0,BOS,26,43,29,14,31.6,12.5,4.2,11,38.3,2.3,6.5,35.3,1.8,2.2,83.2,0.7,2.9,3.6,4.7,1.6,1.6,0.5,2.6,28.6,0,0,4.4,110.5,103.9,6.6,21.2,2.9,25.9,2,8.6,5.3,8.9,48.7,52.5,17.7,101.69,9
Marial Shayok,0,PHI,24,2,1,1,5.2,1.5,0.5,2.5,20,0.5,1.5,33.3,0,0,0,0,1.5,1.5,0.5,0.5,0,0,0,3.6,0,0,-5,96,136,-40,11.1,1,14.3,0,27.3,13.6,14.3,30,30,21.4,116.34,3.3
Mario Hezonja,0,POR,25,39,16,23,16.2,4.5,1.5,4,38.5,0.4,1.4,28.3,1,1.3,81.6,0.6,3,3.6,0.8,0.7,0.6,0.2,2.2,11.5,1,0,-3.8,102.1,112.4,-10.2,6.7,1.03,12.7,3.2,15.7,9.7,12.2,43.3,49.3,13.4,104.59,5.9
Markelle Fultz,0,ORL,22,54,24,30,28.2,11.9,4.9,10.5,46.5,0.5,1.9,27,1.7,2.2,75,0.5,3,3.5,5,2,1.3,0.2,1.9,26,3,1,-0.6,107.7,108.8,-1.2,26.3,2.44,26.9,1.6,10.8,6.1,11.1,48.9,52,20.5,99.56,9.7
Markieff Morris,0,LAL,30,44,14,30,22.5,11,4,8.8,45,1.7,4.3,39.7,1.4,1.8,77.2,0.5,3.4,3.9,1.6,1.6,0.6,0.3,2.4,19,1,0,-2.2,106,111.3,-5.3,10.8,0.99,12.3,2.4,14.7,8.7,12.5,54.6,57.3,21.4,100.37,8.6
Marko Guduric,0,MEM,25,33,14,19,13.2,4.5,1.6,4.2,38.4,0.6,2.2,29.6,0.6,0.7,91.3,0.4,1.5,1.9,1.2,1,0.3,0.2,0.9,9.2,0,0,-1.4,103.6,107.9,-4.4,12.5,1.18,18.2,2.7,11,6.8,15.5,46,50,16.8,105.72,5.9
Marques Bolden,0,CLE,22,1,0,1,2.8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,5.4,0,0,4,114.3,57.1,57.1,0,0,0,0,50,33.3,0,0,0,0,119.29,30.8
Marquese Chriss,0,GSW,22,50,12,38,19.2,8.7,3.3,6.2,53.6,0.2,0.7,22.9,1.9,2.5,75.6,1.9,3.8,5.7,1.7,1.3,0.6,1.1,2,21.8,4,0,-3.7,102.4,111.9,-9.5,14.1,1.31,16.5,9,19.8,14.1,12.6,54.9,59.6,18.4,103.17,12.1
Marvin Bagley III,0,SAC,21,13,2,11,25.7,14.2,6,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3,0,-6.8,102,114.6,-12.6,5,0.56,4.8,8.2,20.1,14,8.7,47.9,51.2,24.8,101.48,9.7
Marvin Williams,0,MIL,34,42,13,29,19.7,6.8,2.3,5.1,45.3,1.1,2.8,37.8,1.1,1.2,86.5,0.4,2.3,2.7,1,0.6,0.6,0.5,1.8,14.3,0,0,-2.2,106,111,-5,7.4,1.64,13.6,1.9,11.8,6.7,8.3,55.8,59.9,13.3,100.27,7.6
Mason Plumlee,0,DEN,30,43,30,13,17.4,7.4,3,4.9,60.5,0,0.1,0,1.5,2.7,55.3,1.8,3.7,5.6,2.4,1.5,0.5,0.6,2.2,19.7,2,0,0.1,106.8,105,1.8,20.3,1.67,24.3,9.6,19.6,14.5,14.6,60.5,60.9,17.9,101.25,12.6
Matisse Thybulle,0,PHI,23,47,31,16,20.3,4.9,1.7,4.2,40.8,1,2.7,37.3,0.5,0.8,64.9,0.5,1,1.6,1.2,0.9,1.4,0.9,2.3,14.7,0,0,0.1,103.1,102.4,0.7,8.1,1.43,18.4,2.5,5.1,3.8,12.9,52.8,54.4,10.9,102.64,4.5
Matt Mooney,0,CLE,23,2,0,2,2.3,1,0.5,1,50,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,3.9,0,0,1,110,90,20,25,0,33.3,0,25,9.1,0,50,50,15.4,104.35,11.1
Matt Thomas,0,TOR,25,24,18,6,10.4,4.5,1.6,3.3,48.8,1.1,2.3,48.1,0.2,0.3,71.4,0.2,1.2,1.4,0.5,0.3,0.3,0,0.9,7.5,0,0,0.3,103,104.2,-1.2,8.1,1.63,12.6,1.4,9.8,5.7,7.8,65,65.6,14.4,102.27,9.6
Matthew Dellavedova,0,CLE,29,46,12,34,12.3,2.6,0.9,2.8,32.8,0.2,1.5,16.4,0.5,0.6,89.3,0.3,0.9,1.1,2.6,0.9,0.3,0,1.3,8,0,0,-0.2,102.4,103.2,-0.8,29.1,2.93,39.9,2.1,6.8,4.4,13.6,37.1,42.8,13.4,101.45,5.1
Maurice Harkless,0,NYK,27,51,35,16,22.9,5.5,2.2,4.4,50.9,0.5,1.5,35.5,0.5,0.8,57.1,0.9,3.1,4,1,0.9,1,0.6,2.4,15.6,0,0,1.1,108.9,106.2,2.7,5.7,1.09,14.7,4,12,8.2,13.6,56.9,57.5,10.1,103.9,6
Max Strus,0,CHI,24,2,0,2,3.1,2.5,1,1.5,66.7,0,0.5,0,0.5,0.5,100,0.5,0,0.5,0,0,0,0,0.5,3.1,0,0,7.5,193.3,87.5,105.8,0,0,0,16.7,0,6.3,0,66.7,72.7,15.8,119.36,12.3
Maxi Kleber,0,DAL,28,54,32,22,24.9,8.9,3.1,6.8,45.8,1.6,4.2,37.9,1.1,1.3,89.7,1.6,3.6,5.2,1,0.7,0.3,1.1,2.2,20.1,1,0,2.3,112.2,107.5,4.7,5.8,1.45,11.2,5.8,13.4,9.6,7.8,57.5,60.8,13.4,100.84,8.5
Melvin Frazier Jr.,0,ORL,23,14,4,10,3.4,1.3,0.4,1.2,35.3,0.3,0.5,57.1,0.1,0.3,50,0.1,0.2,0.3,0.1,0.1,0.3,0.1,0.6,2.9,0,0,0.3,92.6,91.4,1.2,3.4,0.5,4.5,1.9,5.9,3.8,9.1,47.1,48,16.8,106.61,3.1
Meyers Leonard,0,MIA,28,49,34,15,20.1,6.1,2.4,4.6,52,1,2.4,42.9,0.3,0.5,65.4,0.6,4.5,5.1,1.1,0.7,0.3,0.3,2.1,14.8,2,0,1.9,111.1,105.5,5.6,7.6,1.51,16.6,2.9,21.7,12.7,10.9,63.5,64,12,97.87,8.7
Mfiondu Kabengele,0,LAC,22,12,9,3,5.4,3.5,1.2,2.7,43.8,0.8,1.7,45,0.4,0.4,100,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,5.7,0,0,-0.1,104.4,103.6,0.8,5,1,5.3,1.7,15.9,8.9,5.3,57.8,61.4,24.2,101.34,11.2
Michael Carter-Williams,0,ORL,28,32,13,19,17.7,6.4,2.3,5.5,41.2,0.4,1.4,26.1,1.5,1.9,77.4,0.9,2.2,3.2,2.7,1.1,1.1,0.5,1.7,18,0,0,-0.4,104.3,105.3,-1,24,2.56,26.9,4.7,12.5,8.3,10.5,44.6,50.4,17.4,98.75,10.5
Michael Frazier II,0,HOU,26,7,4,3,8.5,1.7,0.4,1.3,33.3,0.3,1,28.6,0.6,0.9,66.7,0.1,0.3,0.4,0.1,0.3,0.3,0,1.6,3,0,0,-3.3,96.9,111.1,-14.2,2.6,0.5,6.7,1.5,4,2.6,13.3,44.4,51.5,9.6,106.87,-1.7
Michael Kidd-Gilchrist,0,DAL,26,12,4,8,13.3,4,1.5,4.4,34,0.4,1.4,29.4,0.6,0.8,77.8,0.8,2.2,2.9,0.8,0.6,0,0.3,1.5,8.9,0,0,1.8,104.4,95,9.4,10.4,1.43,13.5,4.9,14.7,9.7,9.5,38.7,42.1,17.1,95.94,5.4
Michael Porter Jr.,0,DEN,22,39,29,10,14.2,8,3.1,6.1,50.8,1,2.3,43.2,0.8,1,79.5,1.1,3.3,4.4,0.7,0.8,0.4,0.5,1.7,16.3,5,0,1,112.5,109.3,3.2,7.6,0.97,9.2,7.2,22.7,14.7,9.6,58.8,60.9,20.6,102.29,12.4
Mikal Bridges,0,PHX,23,55,22,33,25.7,8.1,3,5.9,50.6,0.7,2.2,34.5,1.3,1.6,82,0.9,3.1,3.9,1.6,1,1.5,0.6,2.2,20.3,0,0,0.5,108.6,107.2,1.4,8.7,1.66,17.4,3.3,11.3,7.4,10.5,56.9,60.8,12.3,103.66,8.3
Mike Conley,0,UTA,32,32,19,13,27.9,13.5,4.7,11.9,39.2,1.8,4.9,36.1,2.4,3.1,78,0.6,2.6,3.2,4.2,1.8,0.7,0.1,2.2,24.2,0,0,1,108.1,106.8,1.3,23.2,2.25,21.7,2.1,8.7,5.5,9.6,46.7,51.1,22.9,101.13,8.9
Mike Muscala,0,OKC,28,37,21,16,12.5,4.8,1.6,4,40.1,1.1,3,35.7,0.5,0.6,81.8,0.3,2.1,2.4,0.8,0.4,0.2,0.3,1.2,9.9,0,0,0.1,103,103.2,-0.2,9.9,2.38,15.4,2.5,16.2,9.3,6.5,53.7,56.2,15.6,104.24,8.3
Mike Scott,0,PHI,31,55,34,21,17.2,5.5,2,5,39.6,1.1,3.3,34.1,0.4,0.5,88.9,0.8,2.6,3.4,0.6,0.4,0.3,0.1,1.2,11.2,0,0,1.5,107.4,103.2,4.2,4.5,1.55,9.2,4.5,14.4,9.5,5.9,50.7,52.8,13.2,102.5,7.3
Miles Bridges,0,CHA,22,54,18,36,30.7,13,5,11.3,44.1,1.6,4.6,34.1,1.5,1.9,79.6,1.4,4.1,5.5,1.7,1.5,0.6,0.7,2.1,24.8,4,0,-7.1,103.4,114.6,-11.2,8.9,1.1,11,4.3,13.5,8.8,10,51,53.7,19.2,97.45,8.4
Mitchell Robinson,0,NYK,22,51,16,35,22.6,9.2,3.9,5.4,73,0,0,0,1.3,2.3,58.1,2.9,3.8,6.7,0.5,0.6,0.9,1.8,3.3,25.6,4,0,-2.7,104.5,109,-4.5,3.7,0.85,7.3,11.4,15.9,13.6,8.6,73,71.9,12.7,100.8,12.3
Miye Oni,0,UTA,22,3,2,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0.1,0,0,-4,61.1,121.1,-59.9,0,0,0,0,9.1,4.8,100,0,0,4.5,106.14,0
Mo Bamba,0,ORL,22,50,22,28,14.9,5.5,2.2,4.7,46.8,0.6,1.7,33.7,0.4,0.6,68.8,1.5,3.5,5,0.7,0.8,0.4,1.4,1.9,17.2,1,0,0.4,101.6,101.4,0.2,7.3,0.85,10.2,8.7,21.3,14.8,12,53,54.4,16.1,99.18,11.7
Monte Morris,0,DEN,25,55,38,17,21.1,8.5,3.4,7.5,45.9,0.9,2.1,40.2,0.8,1,80,0.3,1.4,1.8,3.6,0.7,0.7,0.2,0.9,18.2,0,0,1.2,108.8,106.6,2.2,24.7,5.53,29.9,1.5,6.4,3.9,5.4,51.6,53.8,16.8,99.76,10.4
Montrezl Harrell,0,LAC,26,54,37,17,28.4,18.8,7.7,13.4,57.6,0,0.3,0,3.4,5.4,63.4,2.7,4.4,7.1,1.8,1.8,0.6,1.1,2.4,33.5,9,0,3.7,111.6,105.8,5.8,10.4,0.98,9.3,9,13.5,11.3,9.5,57.6,59.8,24.5,104.91,14
Moritz Wagner,0,WAS,23,26,10,16,20.3,11.3,4.4,7.4,59.1,0.9,2.4,36.5,1.7,2.2,78.6,1.4,4.3,5.7,1.3,1.9,0.7,0.6,3.7,22.1,2,0,-1.1,109,110.7,-1.7,9.4,0.67,11,6.2,21,13.4,16.4,65,67.8,20.1,108.25,11.1
Moses Brown,0,POR,20,9,4,5,3.6,1.2,0.4,1.1,40,0,0,0,0.3,0.9,37.5,0.3,1.2,1.6,0.1,0.3,0.1,0.1,0.8,3.6,0,0,-3.7,90.8,141.7,-50.9,4.8,0.33,5.6,7.3,32.4,18.7,16.7,40,40.7,20,108.15,3.2
Myles Turner,0,IND,24,45,25,20,29.1,11.9,4.2,9.3,45.1,1.4,4.2,34.4,2.1,2.7,76.4,1.2,5,6.1,1.2,1.3,0.7,1.9,2.5,27.7,5,0,-0.1,108.1,107.9,0.2,6.1,0.93,9.6,4,16.8,10.5,10.3,52.9,56.8,17.9,98.04,9.4
Nassir Little,0,POR,20,39,18,21,12.7,3.8,1.4,3.3,43,0.3,1.3,25.5,0.7,1,66.7,0.7,1.8,2.5,0.5,0.4,0.3,0.4,1.6,9,1,0,-0.8,110,112,-2,4.7,1.2,10.1,5.1,12.3,8.7,8.4,48,51.3,13.1,104.09,5.2
Naz Mitrou-Long,0,IND,26,3,2,1,14.2,4.7,2,5.3,37.5,0.7,3.7,18.2,0,0,0,0,2,2,2.3,0.7,0.3,0.3,0.3,11.9,0,0,6,100,79.1,20.9,25,3.5,28,0,11.5,5.8,8,43.8,43.8,17.3,102.17,12.5
Naz Reid,0,MIN,20,19,5,14,11.4,7.4,2.7,6.4,41.8,1.2,3.2,36.1,0.8,1.1,76.2,0.7,2,2.7,0.7,0.6,0.3,0.5,2.3,13.7,0,0,1.4,106.3,101.1,5.3,10.4,1.17,8.9,5.4,16.2,10.5,7.6,50.8,53.3,26.1,105.19,9.4
Nemanja Bjelica,0,SAC,32,54,21,33,28.4,12.3,4.6,9.6,48.5,2.1,4.6,44.9,1,1.1,85.2,1.7,4.7,6.4,2.8,1.5,0.9,0.6,3.1,27,6,0,-1.4,108.7,112.3,-3.6,14,1.89,19.4,5.8,17.2,11.3,10.3,59.2,61,17.4,98.76,10.5
Nerlens Noel,0,OKC,26,46,28,18,18.7,7.8,3.2,4.7,67.3,0,0.1,33.3,1.5,1.9,79.1,1.6,3.5,5.2,1.1,1,1,1.5,2.5,22.2,3,0,0.2,106.8,105.9,0.9,9.1,1.09,14.2,8.9,17.7,13.5,13.1,67.5,70.8,15.3,99.86,13.6
Nickeil Alexander-Walker,0,NOP,21,41,18,23,12.2,5.1,1.9,5.5,33.9,1,2.9,34.2,0.4,0.7,60.7,0.2,1.8,2,1.8,1,0.3,0.2,1.1,10.5,0,0,-1.5,108.1,113.3,-5.1,20.7,1.85,20.9,1.5,13.5,7.4,11.3,42.7,44.1,22.7,105.15,6.2
Nicolas Batum,0,CHA,31,22,6,16,23,3.6,1.3,3.7,34.6,0.6,2.2,28.6,0.4,0.5,90,1.1,3.4,4.5,3,1,0.8,0.4,1.9,15.9,0,0,-2.2,108.6,111.9,-3.3,17.3,3,38.2,4.7,14.6,9.6,12.7,43.2,46.3,9.3,97.67,6.8
Nicolas Claxton,0,BKN,21,14,5,9,13.1,4.4,1.9,3.3,56.5,0.1,0.5,14.3,0.6,1.4,47.4,1.4,1.7,3.1,1.1,0.6,0.1,0.6,1,11.1,0,0,-4.2,94.7,108.5,-13.7,14.3,1.78,20.3,9.1,10.8,10,11.4,57.6,57,14.1,104.8,8.9
Nicolo Melli,0,NOP,29,43,19,24,15.8,6.1,2.1,4.8,44.9,1.1,3,37.4,0.7,0.9,76.9,0.6,2.2,2.8,1.1,0.7,0.6,0.3,1.9,13,0,0,-1.4,105.8,110.2,-4.4,10,1.47,15.6,3.3,14,8.5,10.6,56.8,59.2,15.4,103.91,7.7
Nigel Williams-Goss,0,UTA,25,9,5,4,3.1,0.4,0.1,0.8,14.3,0,0.2,0,0.2,0.2,100,0.2,0.3,0.6,0.6,0.2,0.1,0.1,0.2,2.4,0,0,0.8,95,79.4,15.6,23.8,2.5,33.3,6.5,8.6,7.6,13.3,14.3,25.4,14.1,106.87,5
Nikola Jokic,1,DEN,25,55,38,17,32.5,20.6,8,15.4,51.8,1.2,3.8,32.9,3.4,4.2,81,2.4,7.8,10.2,6.9,3,1.2,0.7,3.1,45.8,35,11,4.1,112.7,107.1,5.6,34.6,2.3,25.4,7.5,24.2,15.8,11,55.8,59.7,27,96.77,18.2
Nikola Vucevic,0,ORL,29,44,19,25,32.2,19,7.6,16.6,45.8,1.7,4.9,34.4,2,2.6,77.6,2.6,8.2,10.8,3.7,1.5,0.9,0.9,2.3,41.5,27,0,-0.2,107.8,108.7,-0.9,19.4,2.52,16.3,7.7,26.2,16.6,6.4,50.9,53.3,25.9,98.93,14.9
Noah Vonleh,0,DEN,24,30,10,20,12,4.1,1.6,2.9,55.2,0.1,0.5,20,0.8,1,80,1.2,2.8,4,0.9,0.7,0.4,0.2,1.3,11.2,0,0,-1.6,98.4,102.6,-4.3,11.2,1.3,17.7,8.4,20.9,14.5,13.6,56.9,61.4,13.5,106.47,12.4
Norman Powell,0,TOR,27,38,29,9,28.2,15.3,5.5,11.1,49.8,2,5.1,40.1,2.2,2.6,84,0.6,3.3,3.9,1.7,1.5,1.3,0.4,2,25.9,0,0,4.1,109.6,102.6,7.1,9,1.12,10.9,2,10,6.2,9.7,58.9,62.3,20.4,103.33,10.9
Norvel Pelle,0,PHI,27,16,10,6,10.2,2.5,1.1,1.8,58.6,0,0,0,0.4,0.8,50,0.9,2.5,3.4,0.4,0.8,0.1,1.4,2.2,11,0,0,-2.9,97.9,110.9,-13,6.1,0.58,13,8.2,22.7,15.6,22.2,58.6,58.3,12.1,99.46,7.2
OG Anunoby,0,TOR,22,54,39,15,29.1,10.2,4.1,8.2,49.9,1.3,3.4,37.2,0.8,1.2,66.2,1.1,4.3,5.4,1.5,1.2,1.2,0.6,2.4,23.3,5,0,3.4,110.7,105.3,5.4,7.3,1.28,13.4,3.8,13.9,8.9,10.5,57.6,58.6,14.5,101.41,8.3
Omari Spellman,0,MIN,22,49,11,38,18.1,7.6,2.6,6,43.1,0.9,2.2,39.1,1.5,1.9,79.3,1.6,2.9,4.5,1,1.1,0.7,0.5,1.3,16.7,1,0,-2.9,101.2,109.7,-8.5,8.6,0.87,10.8,7.6,15.5,11.4,12.4,50.3,55.1,17.7,102.39,9.8
Oshae Brissett,0,TOR,22,17,13,4,7.5,1.9,0.7,2,35.3,0.2,0.9,20,0.4,0.5,75,0.5,0.8,1.4,0.3,0.4,0.2,0.1,1.1,4.5,0,0,1.5,106.7,97.8,9,5.6,0.71,10,6.5,9.5,8,14,39.7,44,14.4,100.22,2.7
Otto Porter Jr.,0,CHI,27,9,3,6,25.1,11.2,3.9,9.3,41.7,1.8,4.4,40,1.7,2.2,75,0.9,2.6,3.4,1.6,0.8,1,0.3,2.2,20.9,0,0,0.8,109.4,108.4,1,9.2,2,12.4,3.3,10.3,6.6,6.2,51.2,54.4,18.4,101.63,8
P.J. Tucker,0,HOU,35,54,34,20,34.9,7.4,2.6,6,43.5,1.5,4,36.4,0.7,0.8,84.1,1.5,5.4,7,1.6,1.1,1.2,0.4,3.4,21.9,6,0,3,112.5,108.6,3.9,6.1,1.52,17.9,4,14.4,9.2,11.8,55.7,58,8.7,103.74,6
