PLAYER,All-Star,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
Jonas Valanciunas,0,MEM,28,51,26,25,26,14.9,6.3,10.7,58.7,0.5,1.4,37.5,1.8,2.5,72.2,2.8,7.7,10.5,1.9,1.8,0.4,1.2,2.7,33.5,26,0,-0.1,107.9,107.5,0.4,11,1.05,12.2,10.4,26.7,18.8,11.6,61.2,63.1,21.3,103.76,15.9
Jonathan Isaac,0,ORL,22,32,13,19,29.7,12,4.7,10.1,46.3,0.9,2.8,33,1.8,2.3,76.7,1.8,5.2,6.9,1.4,1.5,1.6,2.4,2.5,32.9,5,0,0.3,105.5,105.2,0.3,7,0.94,9.9,5.7,17.4,11.4,10.6,50.9,54.2,18.1,99.61,10.5
Jordan Bell,0,CLE,25,27,8,19,8.7,3.1,1.2,2.2,53.3,0.1,0.3,22.2,0.6,1.1,58.6,1,1.9,2.9,0.5,0.7,0.1,0.4,0.6,8,0,0,-0.3,106.4,108.2,-1.8,8.8,0.78,13.3,11.3,20.3,15.8,17.1,55,57,15.6,104.47,10.2
Jordan Bone,0,DET,22,9,3,6,5.3,0.7,0.3,1.9,17.6,0,0.9,0,0,0,0,0,0.1,0.1,0.9,0.2,0.1,0,0.7,2.2,0,0,-1,96,108.2,-12.2,26.7,4,29.6,0,2.7,1.1,7.4,17.6,17.6,16.2,98.71,-3.6
Jordan Clarkson,0,UTA,28,53,26,27,24.1,15.3,5.5,12,46.4,2.2,5.7,37.8,2.1,2.5,83.8,0.7,1.9,2.5,2.1,1.2,0.6,0.3,1.4,22.9,0,0,-0.8,109.2,110.9,-1.7,14.3,1.73,13,2.7,7.6,5.1,7.5,55.4,58.7,24.6,100.04,11.4
Jordan McLaughlin,0,MIN,24,19,4,15,19.1,6.7,2.6,5.8,45.5,0.9,2.6,34,0.5,0.8,66.7,0.2,1.5,1.7,3.8,0.7,1,0.1,0.9,17,1,0,-1.1,104.2,107.1,-2.9,29.3,5.21,36.3,0.7,8.8,4.3,7,53.2,54.5,14.1,106.17,10.7
Jordan McRae,0,DET,29,31,11,20,21.9,12.2,4.4,10.4,41.9,1.4,3.5,38.2,2.2,2.8,77,0.6,2.9,3.5,2.8,1.2,0.6,0.5,2,22.9,0,0,-0.9,110.2,111.8,-1.6,18.3,2.26,17.8,2.5,13.5,7.8,7.9,48.4,52.6,23.8,106.25,10
Jordan Poole,0,GSW,21,48,10,38,21.5,7.8,2.5,8.5,29.5,1.2,4.6,26.5,1.6,1.9,83.9,0.1,1.9,2,2,1,0.6,0.2,1.6,14.7,0,0,-2.6,101.3,108.3,-7,13.9,1.94,16.2,0.5,8.9,4.5,8.4,36.6,42,19.3,103.69,4.3
Josh Gray,0,NOP,26,2,1,1,11.4,1,0.5,1,50,0,0,0,0,0,0,0.5,0.5,1,1,2.5,0,0,0.5,1.2,0,0,-3.5,76.6,91.5,-14.9,15.4,0.4,22.2,5.3,4,4.5,55.6,50,50,13.7,99.31,-2.4
Josh Hart,0,NOP,25,48,19,29,28.2,10.6,3.6,8.6,42.3,2.1,5.8,35.4,1.3,1.6,77.2,1,5.4,6.4,1.6,1.1,1.1,0.4,2.6,24,7,0,-0.4,108.3,109.6,-1.3,7.7,1.4,13.3,3.2,18,10.5,9.5,54.2,56.8,14.8,105.08,8.8
