PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,
Goga Bitadze,2020,IND,0,21,16,5,11,9.2,3.8,1.5,2.9,51.1,0.1,0.9,13.3,0.6,0.8,76.9,0.7,1.3,2,0.3,0.5,0.2,0.9,1.6,9.4,0,0,0.3,105.2,104,1.2,3.9,0.5,6.2,6.7,13.7,10.1,12.3,53.2,56.9,16.3,106.59,7.2,328
Goran Dragic,2020,MIA,0,34,22,11,11,27.1,14.8,5.3,11.5,45.8,1.6,4.4,36.1,2.6,3.1,84.1,0.3,2.8,3.1,4.8,2.8,0.6,0.2,2.6,25.2,1,0,1.6,110.8,107.9,2.9,29.2,1.72,23.3,1.3,9.7,5.7,13.6,52.8,57.3,25.4,99.49,10.4,"1,235"
Gordon Hayward,2020,CHA,0,30,31,16,15,34.8,21.5,7.9,16.2,48.7,2.1,5.1,40.5,3.7,4.3,85.7,0.9,4.5,5.4,3.9,2,1.3,0.4,1.8,37,1,0,0.5,111.7,110.9,0.9,17.5,1.95,16.3,2.4,12.7,7.5,8.3,55.1,59.5,24.1,101.68,12.6,"2,285"
Gorgui Dieng,2020,MEM,0,31,22,9,13,16.9,7.9,2.5,4.9,51.9,1,2.2,47.9,1.7,2,88.4,1.3,3.2,4.5,1.3,1,0.8,0.6,1.7,18.4,0,0,-0.5,107.2,109,-1.8,11.7,1.32,16.2,7.1,18.5,12.7,12.3,62.5,68.2,16.7,101.74,12.4,789
Grant Williams,2020,BOS,0,22,28,13,15,18.5,5.3,1.9,4.1,47,0.9,2.1,43.3,0.5,1,51.7,1,1.9,2.9,0.9,1,0.5,0.4,2.8,11.7,0,0,-2.7,106,112.6,-6.6,7,0.93,13.9,4.8,10.8,7.6,15,58.3,58.3,12.4,100.96,4.1,"1,085"
Grayson Allen,2020,MEM,0,25,23,11,12,24,9.3,2.9,7.1,40.9,2,4.9,40.7,1.5,1.7,89.5,0.3,2.5,2.8,2.2,0.9,1,0.1,1.3,18.4,0,0,1,109.5,107.5,2.1,12.2,2.38,20.1,1.4,10.1,5.7,8.4,54.9,59.2,14.9,102.22,8.4,"1,173"
Greg Whittington,2020,DEN,0,28,2,2,0,4.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,105.3,68.4,36.8,0,0,0,0,0,0,0,0,0,10,112.13,-6.7,19
Hamidou Diallo,2020,DET,0,22,32,13,19,23.8,11.9,4.5,9.3,48.1,0.4,1.3,29.3,2.6,4.1,62.9,1.2,4,5.2,2.4,1.5,1,0.4,2.6,24.2,4,0,-2.6,100.7,107.2,-6.5,16.3,1.57,16.1,4.5,15.1,9.9,10.2,50.2,53.6,22,102.49,10.3,"1,635"
Harrison Barnes,2020,SAC,0,28,33,14,19,35.7,16.7,5.6,11.3,49.2,1.7,4.3,39.2,3.9,4.7,82.6,1,5.1,6.1,3.6,1.4,0.8,0.2,1.3,30.8,1,0,-2.4,113.7,117.1,-3.4,13.6,2.51,19.5,2.8,14,8.4,7.8,56.7,62.4,17.4,101.47,11,"2,495"
Harry Giles III,2020,POR,0,22,22,13,9,11.8,3.1,1.2,2.8,41.9,0.1,0.4,37.5,0.6,0.8,72.2,1.1,3.8,4.9,0.9,0.7,0.2,0.4,2,11.5,0,0,-3.5,100.9,114.2,-13.3,11.6,1.25,18.9,8.9,28.2,18.8,15.1,44.4,48.6,14.1,102.14,9,552
Hassan Whiteside,2020,SAC,0,31,23,10,13,14.6,8.3,3.5,6,58,0,0,0,1.3,2.4,54.5,1.6,4.2,5.7,0.5,1,0.3,1.3,1.8,19.5,2,0,-3.4,108.5,118.4,-9.9,5,0.46,5.6,10.7,27.4,19.2,12.1,58,58.6,22.9,103.06,12.6,717
