PLAYER,YEAR,TEAM,All-Star,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTÂ Ratio,OREB%,DREB%,REB%,TOÂ Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
Markelle Fultz,2019,ORL,0,22,47,21,26,27.6,11.7,4.9,10.6,45.9,0.4,1.7,25.6,1.6,2.1,72.3,0.5,3,3.6,4.6,2,1.3,0.2,1.9,25.4,1,1,-0.5,107,108.1,-1,25.2,2.31,25.5,1.7,11.1,6.2,11,48,50.8,20.8,99.89,9.5,"2,702"
Markieff Morris,2019,LAL,0,30,41,14,27,22.6,11,4,8.9,45.3,1.7,4.2,39.7,1.3,1.7,78.3,0.5,3.3,3.9,1.6,1.6,0.6,0.2,2.4,19,1,0,-2.4,106,111.8,-5.8,10.6,0.98,12.4,2.3,14.5,8.5,12.6,54.8,57.4,21.2,100.71,8.5,"1,954"
Marko Guduric,2019,MEM,0,25,32,14,18,13.4,4.3,1.6,4.2,37,0.6,2.2,28.6,0.6,0.7,90.5,0.4,1.6,1.9,1.3,1.1,0.3,0.2,1,9.2,0,0,-1.7,102.8,108.2,-5.5,12.7,1.18,18.4,2.7,11.1,6.9,15.7,44.4,48.2,16.7,105.57,5.4,944
Marquese Chriss,2019,GSW,0,22,44,10,34,18.1,7.8,2.9,5.6,52,0.1,0.6,23.1,1.8,2.4,75.5,1.8,3.5,5.3,1.8,1.3,0.6,0.9,1.9,20,3,0,-3.3,102.2,111.7,-9.5,15.4,1.33,17.9,9.3,19.6,14.2,13.5,53.3,58.4,18.1,102.92,11.8,"1,714"
Marvin Bagley III,2019,SAC,0,21,13,2,11,25.7,14.2,6,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3,0,-6.8,102,114.6,-12.6,5,0.56,4.8,8.2,20.1,14,8.7,47.9,51.2,24.8,101.48,9.7,706
Marvin Williams,2019,MIL,0,34,39,13,26,19.7,6.9,2.3,5.2,44.8,1.1,2.9,38.6,1.1,1.3,86,0.4,2.3,2.6,1,0.6,0.7,0.5,1.8,14.4,0,0,-2.6,105.4,111.4,-6,7.5,1.58,13.3,1.8,11.5,6.5,8.4,55.7,59.8,13.6,100.23,7.6,"1,599"
Mason Plumlee,2019,DEN,0,30,43,30,13,17.4,7.4,3,4.9,60.5,0,0.1,0,1.5,2.7,55.3,1.8,3.7,5.6,2.4,1.5,0.5,0.6,2.2,19.7,2,0,0.1,106.8,105,1.8,20.3,1.67,24.3,9.6,19.6,14.5,14.6,60.5,60.9,17.9,101.25,12.6,"1,571"
Matisse Thybulle,2019,PHI,0,23,41,28,13,20.1,4.9,1.7,4.3,38.6,1,2.7,36.6,0.6,0.9,63.9,0.5,1.1,1.6,1.3,1,1.6,0.8,2.3,14.9,0,0,0.4,103.1,101.9,1.1,8.5,1.33,18.4,2.6,5.3,3.9,13.8,50.3,52.1,11.6,102.66,4.4,"1,760"
Matt Mooney,2019,CLE,0,23,2,0,2,2.3,1,0.5,1,50,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0.5,3.9,0,0,1,110,90,20,25,0,33.3,0,25,9.1,0,50,50,15.4,104.35,11.1,10
Matt Thomas,2019,TOR,0,25,19,14,5,10.7,4.6,1.6,3.3,47.6,1.2,2.5,46.8,0.3,0.4,71.4,0.2,1.1,1.3,0.5,0.4,0.2,0,0.8,7.2,0,0,-0.1,100.7,103.5,-2.8,7.7,1.25,12,1.6,9,5.2,9.6,65.1,65.8,14.1,103.23,8.7,442
